,trip_date,city,median_trip_duration_minutes
620,2017-09-25,boston,11.033333333333333
621,2017-09-25,nyc,10.416666666666666
622,2017-09-26,boston,10.733333333333333
623,2017-09-26,nyc,10.4
624,2017-09-26,sf,9.558333333333334
625,2017-09-27,boston,10.816666666666666
626,2017-09-27,sf,9.5
627,2017-09-27,nyc,10.266666666666667
628,2017-09-28,boston,10.45
629,2017-09-28,nyc,10.3
630,2017-09-28,sf,9.583333333333334
631,2017-09-29,nyc,10.283333333333333
632,2017-09-29,boston,11.333333333333334
633,2017-09-29,sf,9.516666666666667
634,2017-09-30,boston,9.516666666666667
635,2017-09-30,nyc,10.566666666666666
636,2017-09-30,sf,12.516666666666667
637,2017-10-01,nyc,11.966666666666667
638,2017-10-01,sf,13.066666666666666
639,2017-10-01,boston,13.333333333333334
640,2017-10-02,boston,10.133333333333333
641,2017-10-02,sf,9.55
642,2017-10-02,nyc,9.95
643,2017-10-03,sf,9.666666666666666
644,2017-10-03,nyc,10.0
645,2017-10-03,boston,10.266666666666667
646,2017-10-04,boston,10.316666666666666
647,2017-10-04,nyc,10.183333333333334
648,2017-10-04,sf,9.716666666666667
649,2017-10-05,nyc,10.15
650,2017-10-05,sf,9.783333333333333
651,2017-10-05,boston,10.483333333333333
652,2017-10-06,boston,10.866666666666667
653,2017-10-06,sf,10.066666666666666
654,2017-10-06,nyc,10.616666666666667
655,2017-10-07,sf,12.966666666666667
656,2017-10-07,nyc,12.633333333333333
657,2017-10-07,boston,14.15
658,2017-10-08,sf,14.633333333333333
659,2017-10-08,boston,12.733333333333333
660,2017-10-08,nyc,10.833333333333334
661,2017-10-09,nyc,9.033333333333333
662,2017-10-09,boston,9.433333333333334
663,2017-10-09,sf,9.416666666666666
664,2017-10-10,sf,8.85
665,2017-10-10,boston,10.666666666666666
666,2017-10-10,nyc,10.466666666666667
667,2017-10-11,sf,9.133333333333333
668,2017-10-11,nyc,9.766666666666667
669,2017-10-11,boston,10.266666666666667
670,2017-10-12,sf,9.15
671,2017-10-12,boston,10.05
672,2017-10-12,nyc,9.516666666666667
673,2017-10-13,boston,10.55
674,2017-10-13,nyc,10.083333333333334
675,2017-10-13,sf,9.183333333333334
676,2017-10-14,boston,11.983333333333333
677,2017-10-14,sf,12.066666666666666
678,2017-10-14,nyc,11.566666666666666
679,2017-10-15,nyc,11.583333333333334
680,2017-10-15,boston,11.966666666666667
681,2017-10-15,sf,13.041666666666668
682,2017-10-16,sf,9.2
683,2017-10-16,nyc,9.366666666666667
684,2017-10-16,boston,9.233333333333333
685,2017-10-17,boston,9.533333333333333
686,2017-10-17,nyc,9.566666666666666
687,2017-10-17,sf,9.266666666666667
688,2017-10-18,sf,9.066666666666666
689,2017-10-18,nyc,10.15
690,2017-10-18,boston,10.233333333333333
691,2017-10-19,sf,8.983333333333333
692,2017-10-19,boston,10.666666666666666
693,2017-10-19,nyc,10.333333333333334
694,2017-10-20,boston,10.966666666666667
695,2017-10-20,sf,9.516666666666667
696,2017-10-20,nyc,10.583333333333334
697,2017-10-21,sf,12.9
698,2017-10-21,nyc,12.666666666666666
699,2017-10-21,boston,15.333333333333334
700,2017-10-22,boston,14.05
701,2017-10-22,nyc,12.25
702,2017-10-22,sf,11.708333333333332
703,2017-10-23,boston,9.983333333333333
704,2017-10-23,nyc,10.216666666666667
705,2017-10-23,sf,9.616666666666667
706,2017-10-24,boston,9.95
707,2017-10-24,nyc,9.016666666666667
708,2017-10-24,sf,9.35
709,2017-10-25,boston,8.95
710,2017-10-25,sf,9.566666666666666
711,2017-10-25,nyc,9.883333333333333
712,2017-10-26,nyc,9.283333333333333
713,2017-10-26,sf,9.516666666666667
714,2017-10-26,boston,9.05
715,2017-10-27,sf,9.816666666666666
716,2017-10-27,boston,9.916666666666666
717,2017-10-27,nyc,10.166666666666666
718,2017-10-28,nyc,11.866666666666667
719,2017-10-28,sf,11.025
720,2017-10-28,boston,13.216666666666667
721,2017-10-29,sf,11.075
722,2017-10-29,nyc,8.066666666666666
723,2017-10-29,boston,9.35
724,2017-10-30,nyc,8.883333333333333
725,2017-10-30,boston,9.05
726,2017-10-30,sf,8.966666666666667
727,2017-10-31,nyc,9.533333333333333
