,city,trip_date,median_trip_duration_minutes,trip_count,trip_count_7d_ma,trip_count_14d_ma,median_trip_duration_minutes_norm,trip_count_norm,trip_count_7d_ma_norm,trip_count_14d_ma_norm
4701,sf,2020-11-19,10.541666666666668,4354,4193.142857142857,4506.642857142857,0.2660857908847186,0.2307556497175141,0.2355408993414152,0.2656685424349725
4702,sf,2020-11-20,10.725,5034,4443.857142857143,4488.428571428572,0.2808310991957105,0.27077448210922783,0.25212362873583855,0.26441966275351036
4703,sf,2020-11-21,12.216666666666667,5109,4360.0,4354.0,0.40080428954423597,0.27518832391713743,0.2465771545737152,0.25520244094758127
4704,sf,2020-11-22,12.075,4082,4224.428571428572,4351.071428571428,0.3894101876675603,0.2147481167608286,0.2376101971974715,0.2550016406850717
4705,sf,2020-11-23,10.8,3855,4162.285714285715,4348.642857142857,0.28686327077748,0.20138888888888887,0.2334999480313324,0.2548351233942101
4706,sf,2020-11-24,10.533333333333333,4032,4351.142857142857,4328.5,0.2654155495978553,0.21180555555555552,0.24599132595693213,0.25345400939353424
4707,sf,2020-11-25,10.683333333333334,4333,4399.857142857143,4311.357142857143,0.2774798927613942,0.22951977401129942,0.24921338334923893,0.25227859322274626
4708,sf,2020-11-26,12.183333333333334,2643,4155.428571428572,4174.285714285715,0.3981233243967829,0.13006120527306966,0.23304640329575843,0.24288016142382082
4709,sf,2020-11-27,12.8,3780,3976.285714285714,4210.071428571428,0.44772117962466496,0.19697504708097927,0.22119754707888845,0.24533384268034067
4710,sf,2020-11-28,12.9,4197,3846.0,4103.0,0.4557640750670242,0.22151600753295667,0.21258019710298298,0.2379923891802941
4711,sf,2020-11-29,12.458333333333332,3856,3813.714285714286,4019.0714285714284,0.4202412868632708,0.20144774011299432,0.21044475730632223,0.23223774751081136
4712,sf,2020-11-30,10.45,3587,3775.4285714285716,3968.8571428571427,0.25871313672922247,0.18561676082862522,0.20791246586603424,0.22879475764387827
4713,sf,2020-12-01,10.583333333333334,3806,3743.1428571428573,4047.1428571428573,0.2694369973190349,0.19850517890772126,0.20577702606937345,0.23416249149047666
4714,sf,2020-12-02,10.5,3842,3673.0,4036.4285714285716,0.2627345844504022,0.20062382297551787,0.20113764137839804,0.23342785638373417
4715,sf,2020-12-03,10.258333333333333,4014,3868.8571428571427,4012.1428571428573,0.2432975871313673,0.21074623352165722,0.21409201288822954,0.2317626834751179
4716,sf,2020-12-04,10.8,4488,3970.0,3973.1428571428573,0.28686327077748,0.23864171374764592,0.2207817977379456,0.22908861168657527
4717,sf,2020-12-05,12.416666666666666,5114,4101.0,3973.5,0.41689008042895437,0.27548258003766474,0.22944639195714,0.22911309952346667
4718,sf,2020-12-06,12.5,4011,4123.142857142857,3968.4285714285716,0.4235924932975872,0.21056967984934086,0.23091096349909762,0.2287653722396086
4719,sf,2020-12-07,10.675,3674,4135.571428571428,3955.5,0.27680965147453096,0.19073681732580036,0.23173301333232543,0.2278789125441393
4720,sf,2020-12-08,10.883333333333333,3779,4131.714285714285,3937.4285714285716,0.2935656836461126,0.1969161958568738,0.2314778944185651,0.22663982799743368
4721,sf,2020-12-09,10.3,3600,4097.142857142857,3885.0714285714284,0.2466487935656837,0.18638182674199621,0.22919127304337966,0.22304991110915204
4722,sf,2020-12-10,10.525,3562,4032.5714285714284,3950.714285714286,0.26474530831099197,0.18414548022598867,0.2249203934500581,0.22755077552979433
4723,sf,2020-12-11,10.1,3129,3838.4285714285716,3904.214285714286,0.2305630026809652,0.1586629001883239,0.21207940812412007,0.224362459166532
4724,sf,2020-12-12,12.066666666666666,3876,3661.5714285714284,3881.285714285714,0.3887399463806971,0.20262476459510356,0.20038173348577473,0.22279034003810308
4725,sf,2020-12-13,9.533333333333333,1486,3300.8571428571427,3712.0,0.18498659517426275,0.06197033898305085,0.17652339062485234,0.21118310535157184
4726,sf,2020-12-14,10.433333333333334,3247,3239.8571428571427,3687.714285714286,0.25737265415549604,0.16560734463276836,0.17248873224797556,0.20951793244295555
4727,sf,2020-12-15,10.191666666666666,3388,3184.0,3657.8571428571427,0.23793565683646112,0.1739053672316384,0.16879423242277927,0.20747074927883316
4728,sf,2020-12-16,10.466666666666667,3338,3146.5714285714284,3621.8571428571427,0.2600536193029491,0.17096280602636532,0.166318634074438,0.20500237532017845
4729,sf,2020-12-17,10.666666666666666,3349,3116.1428571428573,3574.3571428571427,0.2761394101876675,0.1716101694915254,0.16430602931032853,0.2017454930136201
4730,sf,2020-12-18,10.991666666666667,3778,3208.8571428571427,3523.6428571428573,0.30227882037533516,0.19685734463276836,0.1704383320892349,0.19826822017503906
4731,sf,2020-12-19,12.616666666666667,4112,3242.5714285714284,3452.0714285714284,0.4329758713136731,0.21651365348399246,0.1726682603724736,0.19336085766199926
4732,sf,2020-12-20,12.583333333333334,3539,3535.8571428571427,3418.3571428571427,0.43029490616622,0.18279190207156307,0.19206674666691861,0.1910492058594496
4733,sf,2020-12-21,10.8,3258,3537.4285714285716,3388.6428571428573,0.28686327077748,0.16625470809792842,0.19217068400215434,0.1890118178300838
4734,sf,2020-12-22,10.9,3422,3542.285714285714,3363.1428571428573,0.2949061662198392,0.17590630885122407,0.19249194485651921,0.1872633862760367
4735,sf,2020-12-23,10.833333333333334,3433,3555.8571428571427,3351.214285714286,0.28954423592493306,0.17655367231638416,0.19338958547900936,0.1864454925238634
4736,sf,2020-12-24,10.5,2944,3498.0,3307.0714285714284,0.2627345844504022,0.14777542372881355,0.189562801772604,0.18341879588408436
4737,sf,2020-12-25,11.2,1133,3120.1428571428573,3164.5,0.3190348525469169,0.041195856873822975,0.16457059707274668,0.17364325139703107
4738,sf,2020-12-26,12.833333333333334,2781,2930.0,3086.285714285714,0.45040214477211804,0.13818267419962332,0.15199417950922678,0.16828041511781097
4739,sf,2020-12-27,13.4,2837,2829.714285714286,3182.785714285714,0.4959785522788205,0.14147834274952917,0.14536108775145748,0.1748970286458716
4740,sf,2020-12-28,11.416666666666666,2905,2779.285714285714,3158.3571428571427,0.33646112600536193,0.14548022598870056,0.14202564417525723,0.17322206060249873
4741,sf,2020-12-29,12.016666666666667,3465,2785.4285714285716,3163.8571428571427,0.38471849865951757,0.17843691148775892,0.14243194466754225,0.17359917329062652
4742,sf,2020-12-30,11.716666666666667,3269,2762.0,3158.9285714285716,0.3605898123324397,0.1669020715630885,0.14088233348766452,0.173261241141525
4743,sf,2020-12-31,12.383333333333333,3760,2878.5714285714284,3188.285714285714,0.4142091152815013,0.19579802259887003,0.148592593992422,0.17527414133399938
4744,sf,2021-01-01,14.483333333333333,2784,3114.4285714285716,3117.285714285714,0.5831099195710456,0.13835922787193972,0.16419264312643506,0.17040595935998587
4745,sf,2021-01-02,11.333333333333334,1910,2990.0,2960.0,0.32975871313672933,0.08692325800376648,0.15596269594549902,0.15962151599300625
4746,sf,2021-01-03,12.333333333333334,2720,2973.285714285714,2901.5,0.41018766756032177,0.1345927495291902,0.15485718065253748,0.15561040831019232
4747,sf,2021-01-04,9.658333333333333,2172,2868.5714285714284,2823.9285714285716,0.19504021447721187,0.10234227871939737,0.14793117458637664,0.15029165013737678
4748,sf,2021-01-05,11.041666666666668,3166,2825.8571428571427,2805.6428571428573,0.3063002680965149,0.16084039548022597,0.1451059688376971,0.14903787288853626
4749,sf,2021-01-06,10.475,2634,2735.1428571428573,2748.5714285714284,0.26072386058981234,0.1295315442561205,0.1391059499399998,0.14512471655328796
4750,sf,2021-01-07,10.983333333333333,3131,2645.285714285714,2761.9285714285716,0.30160857908847183,0.15878060263653482,0.13316262413424923,0.14604056165302695
4751,sf,2021-01-08,10.5,3185,2702.5714285714284,2908.5,0.2627345844504022,0.16195856873822972,0.13695161244602344,0.15609036991326408
4752,sf,2021-01-09,13.466666666666667,4310,3045.4285714285716,3017.714285714286,0.5013404825737267,0.2281661958568738,0.15962884922472198,0.1635787504346591
4753,sf,2021-01-10,12.833333333333334,3253,3121.5714285714284,3047.4285714285716,0.45040214477211804,0.1659604519774011,0.16466508555932458,0.16561613846402493
4754,sf,2021-01-11,10.791666666666668,3020,3242.714285714286,3055.6428571428573,0.28619302949061676,0.1522481167608286,0.1726777092211314,0.16617935871252748
4755,sf,2021-01-12,10.15,2889,3203.1428571428573,3014.5,0.23458445040214482,0.14453860640301316,0.1700603781429233,0.16335835990263636
4756,sf,2021-01-13,10.783333333333333,3490,3325.4285714285716,3030.285714285714,0.28552278820375343,0.17990819209039546,0.17814859259399243,0.16444072229323695
4757,sf,2021-01-14,11.2,3450,3371.0,3008.1428571428573,0.3190348525469169,0.177554143126177,0.18116277531582775,0.16292247640596916
4758,sf,2021-01-15,11.375,3892,3472.0,3087.285714285714,0.33310991957104563,0.20356638418079095,0.18784311131688602,0.16834898106110693
4759,sf,2021-01-16,14.8,4696,3527.1428571428573,3286.285714285714,0.60857908847185,0.2508827683615819,0.1914903668987934,0.18199360377700394
4760,sf,2021-01-17,14.891666666666666,4940,3768.1428571428573,3444.8571428571427,0.6159517426273458,0.2652424670433145,0.20743057458448688,0.19286620335679266
4761,sf,2021-01-18,14.483333333333333,5081,4062.5714285714284,3652.6428571428573,0.5831099195710456,0.2735404896421845,0.22690465166819423,0.20711322686021852
4762,sf,2021-01-19,10.65,3239,4112.571428571428,3657.8571428571427,0.2747989276139411,0.16513653483992466,0.2302117486984211,0.20747074927883316
4763,sf,2021-01-20,10.783333333333333,3453,4107.285714285715,3716.3571428571427,0.28552278820375343,0.1777306967984934,0.22986214129808286,0.21148185696164715
4764,sf,2021-01-21,10.2,3339,4091.4285714285716,3731.214285714286,0.23860589812332433,0.1710216572504708,0.22881331909706804,0.21250055097633005
4765,sf,2021-01-22,10.466666666666667,2899,3949.5714285714284,3710.785714285714,0.2600536193029491,0.14512711864406777,0.21943061237988148,0.21109984670614104
4766,sf,2021-01-23,13.766666666666667,5144,4013.5714285714284,3770.3571428571427,0.5254691689008044,0.2772481167608286,0.22366369657857188,0.21518441789962925
4767,sf,2021-01-24,9.983333333333333,1909,3580.5714285714284,3674.3571428571427,0.22117962466487928,0.08686440677966102,0.1950242362968072,0.20860208734321659
4768,sf,2021-01-25,10.216666666666667,2867,3264.285714285714,3663.4285714285716,0.239946380697051,0.14324387947269301,0.17410448536845785,0.20785275953433927
4769,sf,2021-01-26,9.683333333333334,2009,3088.5714285714284,3600.5714285714284,0.19705093833780163,0.09274952919020715,0.16248240151937485,0.20354290024145005
4770,sf,2021-01-27,9.883333333333333,2035,2886.0,3496.6428571428573,0.21313672922252014,0.09427966101694915,0.14908393412262716,0.196416939706048
4771,sf,2021-01-28,9.766666666666667,2113,2710.8571428571427,3401.1428571428573,0.20375335120643445,0.09887005649717515,0.13749964566817532,0.18986889212128336
4772,sf,2021-01-29,10.8,3783,2837.1428571428573,3393.3571428571427,0.28686327077748,0.19715160075329566,0.1458524278816626,0.18933505727705047
4773,sf,2021-01-30,12.733333333333333,4576,2756.0,3384.785714285714,0.4423592493297588,0.24382062146892652,0.1404854818440373,0.18874734919165648
4774,sf,2021-01-31,12.916666666666666,4203,3083.714285714286,3332.1428571428573,0.45710455764075064,0.22186911487758942,0.16216114066500997,0.18513784203386177
4775,sf,2021-02-01,10.183333333333334,2893,3087.4285714285716,3175.8571428571427,0.2372654155495979,0.144774011299435,0.16240681073011254,0.1744219646101781
4776,sf,2021-02-02,10.383333333333333,3179,3254.5714285714284,3171.5714285714284,0.2533512064343163,0.16160546139359697,0.17346196365972805,0.17412811056748112
4777,sf,2021-02-03,10.383333333333333,3642,3484.1428571428573,3185.0714285714284,0.2533512064343163,0.1888535781544256,0.18864626345279828,0.17505375080197663
4778,sf,2021-02-04,10.55,3667,3706.1428571428573,3208.5,0.26675603217158184,0.19032485875706212,0.20332977426700558,0.17666015290205353
4779,sf,2021-02-05,11.116666666666667,4303,3780.4285714285716,3308.785714285714,0.3123324396782843,0.2277542372881356,0.20824317556905692,0.18353633750116316
4780,sf,2021-02-06,13.466666666666667,5596,3926.1428571428573,3341.0714285714284,0.5013404825737267,0.30384887005649713,0.2178810012000038,0.18575003795614717
4781,sf,2021-02-07,12.483333333333333,4281,3937.285714285714,3510.5,0.42225201072386054,0.22645951035781542,0.21861801139531145,0.19736706777743493
4782,sf,2021-02-08,10.391666666666666,3182,3978.5714285714284,3533.0,0.2540214477211796,0.16178201506591336,0.22134872865741306,0.19890980150159415
4783,sf,2021-02-09,10.3,3356,4003.8571428571427,3629.214285714286,0.2466487935656837,0.17202212806026362,0.22302117486984208,0.20550682476014162
4784,sf,2021-02-10,10.516666666666667,3855,4034.285714285714,3759.214285714286,0.26407506702412875,0.20138888888888887,0.2250337796339516,0.21442039738861704
4785,sf,2021-02-11,9.733333333333333,2379,3850.285714285714,3778.214285714286,0.20107238605898126,0.11452448210922787,0.21286366256271672,0.21572315031124042
4786,sf,2021-02-12,11.133333333333333,4271,3845.714285714286,3813.0714285714284,0.3136729222520107,0.2258709981167608,0.21256129940566743,0.21811316319184257
4787,sf,2021-02-13,12.35,4531,3693.5714285714284,3809.8571428571427,0.4115281501340483,0.2411723163841808,0.20249827558511993,0.21789277265981985
4788,sf,2021-02-14,13.283333333333333,3461,3576.4285714285716,3756.8571428571427,0.4865951742627346,0.17820150659133707,0.19475021968573128,0.2142587776651337
4789,sf,2021-02-15,10.483333333333333,2699,3507.4285714285716,3743.0,0.26139410187667556,0.1333568738229755,0.1901864257840182,0.21330864959374676
4790,sf,2021-02-16,10.3,3243,3491.285714285714,3747.5714285714284,0.2466487935656837,0.1653719397363465,0.18911870588568783,0.2136220939059569
4791,sf,2021-02-17,10.366666666666667,3856,3491.4285714285716,3762.8571428571427,0.25201072386058987,0.20144774011299432,0.18912815473434563,0.21467017332490948
4792,sf,2021-02-18,10.483333333333333,3721,3683.1428571428573,3766.714285714286,0.26139410187667556,0.19350282485875706,0.2018085096331012,0.2149346419633368
4793,sf,2021-02-19,10.516666666666667,3495,3572.285714285714,3709.0,0.26407506702412875,0.18020244821092277,0.19447620307465535,0.21097740752168395
4794,sf,2021-02-20,13.133333333333333,5121,3656.5714285714284,3675.0714285714284,0.4745308310991958,0.275894538606403,0.20005102378275205,0.20865106301699946
4795,sf,2021-02-21,13.383333333333333,4837,3853.1428571428573,3714.785714285714,0.49463806970509383,0.25918079096045193,0.21305263953587256,0.2113741104793249
4796,sf,2021-02-22,10.733333333333333,3884,4022.4285714285716,3764.9285714285716,0.2815013404825737,0.20309557438794726,0.22424952519535496,0.21481220277887972
4797,sf,2021-02-23,10.883333333333333,4198,4158.857142857143,3825.0714285714284,0.2935656836461126,0.22157485875706212,0.23327317566354538,0.21893595451139417
4798,sf,2021-02-24,10.733333333333333,4163,4202.714285714285,3847.0714285714284,0.2815013404825737,0.21951506591337097,0.23617397220148723,0.22044440526390538
4799,sf,2021-02-25,10.5,4134,4261.714285714285,3972.4285714285716,0.2627345844504022,0.2178083804143126,0.24007634669715494,0.22903963601279245
4800,sf,2021-02-26,11.033333333333333,4410,4392.428571428572,3982.3571428571427,0.30563002680965146,0.23405131826741993,0.24872204321903374,0.2297203978783738
4801,sf,2021-02-27,13.283333333333333,5452,4439.714285714285,4048.1428571428573,0.4865951742627346,0.2953742937853107,0.25184961212476253,0.23423105743377262
4802,sf,2021-02-28,13.616666666666667,5157,4485.428571428572,4169.285714285715,0.5134048257372654,0.2780131826741996,0.2548732436952557,0.24253733170734096
4803,sf,2021-03-01,10.233333333333333,3675,4455.571428571428,4239.0,0.24128686327077742,0.19079566854990582,0.2528984343257774,0.24731735746854536
4804,sf,2021-03-02,10.366666666666667,3963,4422.0,4290.428571428572,0.25201072386058987,0.2077448210922787,0.2506779548911965,0.25084360598090927
4805,sf,2021-03-03,10.366666666666667,3821,4373.142857142857,4287.928571428572,0.25201072386058987,0.19938794726930317,0.24744644865023196,0.25067219112266936
4806,sf,2021-03-04,10.316666666666666,4013,4355.857142857143,4308.785714285715,0.24798927613941024,0.21068738229755177,0.24630313796263925,0.25210228079712804
4807,sf,2021-03-05,10.683333333333334,4705,4398.0,4395.214285714285,0.2774798927613942,0.25141242937853103,0.2490905483166876,0.25802833732485075
4808,sf,2021-03-06,13.583333333333334,5480,4402.0,4420.857142857143,0.5107238605898123,0.2970221280602636,0.24935511607910577,0.2597865640136544
4809,sf,2021-03-07,12.833333333333334,4579,4319.428571428572,4402.428571428572,0.45040214477211804,0.24399717514124292,0.24389368155490254,0.2585229916300573
4810,sf,2021-03-08,10.366666666666667,3310,4267.285714285715,4361.428571428572,0.25201072386058987,0.1693149717514124,0.24044485179480884,0.2557117879549228
4811,sf,2021-03-09,9.6,2785,4099.0,4260.5,0.19034852546916892,0.13841807909604517,0.22931410807593094,0.2487915252494086
4812,sf,2021-03-10,10.033333333333333,3083,3993.5714285714284,4183.357142857143,0.22520107238605902,0.15595574387947267,0.22234085776648116,0.24350215248086274
4813,sf,2021-03-11,10.316666666666666,3750,3956.0,4155.928571428572,0.24798927613941024,0.19520951035781542,0.2198558105694821,0.241621486607602
4814,sf,2021-03-12,10.65,4606,3941.8571428571427,4169.928571428572,0.2747989276139411,0.2455861581920904,0.2189203745523608,0.2425814098137455
4815,sf,2021-03-13,12.583333333333334,5081,3884.8571428571427,4143.428571428572,0.43029490616622,0.2735404896421845,0.21515028393790214,0.24076441231640242
4816,sf,2021-03-14,10.966666666666667,2590,3600.714285714286,3960.0714285714284,0.3002680965147454,0.1269420903954802,0.19635652395755576,0.22819235685634945
4817,sf,2021-03-15,9.883333333333333,3247,3591.714285714286,3929.5,0.21313672922252014,0.16560734463276836,0.19576124649211493,0.22609619801844424
4818,sf,2021-03-16,10.65,3974,3761.5714285714284,3930.285714285714,0.2747989276139411,0.20839218455743877,0.20699592754622848,0.22615007125960532
4819,sf,2021-03-17,10.275,3948,3885.1428571428573,3939.3571428571427,0.24463806970509394,0.20686205273069677,0.21516918163521775,0.2267720623166473
4820,sf,2021-03-18,9.5,2011,3636.714285714286,3796.3571428571427,0.18230563002680966,0.09286723163841808,0.1987376338193191,0.2169671324253243
4821,sf,2021-03-19,10.816666666666666,4555,3629.4285714285716,3785.6428571428573,0.2882037533512064,0.24258474576271183,0.19825574253777178,0.21623249731858188
4822,sf,2021-03-20,13.433333333333334,5597,3703.1428571428573,3794.0,0.49865951742627357,0.3039077212806026,0.20313134844519196,0.21680551270184098
4823,sf,2021-03-21,12.95,4819,4021.5714285714284,3811.1428571428573,0.4597855227882037,0.25812146892655363,0.22419283210340818,0.21798092887262896
4824,sf,2021-03-22,10.491666666666667,3926,4118.571428571428,3855.1428571428573,0.262064343163539,0.20556732580037662,0.23060860034204828,0.22099783037765144
4825,sf,2021-03-23,10.583333333333334,4138,4142.0,3951.785714285714,0.2694369973190349,0.21804378531073446,0.23215821152192606,0.2276242390404686
4826,sf,2021-03-24,10.591666666666667,4330,4196.571428571428,4040.8571428571427,0.27010723860589814,0.22934322033898302,0.2357676717092022,0.23373150556118774
4827,sf,2021-03-25,11.008333333333333,4348,4530.428571428572,4083.5714285714284,0.3036193029490617,0.23040254237288132,0.2578496310224599,0.23666025085340112
4828,sf,2021-03-26,11.258333333333333,5304,4637.428571428572,4133.428571428572,0.32372654155495983,0.2866643126177024,0.2649268186671454,0.2400787528834428
4829,sf,2021-03-27,14.05,6489,4764.857142857143,4234.0,0.5482573726541555,0.3564030131826742,0.273355191669895,0.24697452775206555
4830,sf,2021-03-28,13.533333333333333,5291,4832.285714285715,4426.928571428572,0.5067024128686328,0.2858992467043314,0.27781504823637243,0.2602028572408085
4831,sf,2021-03-29,10.533333333333333,4175,4867.857142857143,4493.214285714285,0.2654155495978553,0.22022128060263652,0.28016781155216236,0.26474779976785523
4832,sf,2021-03-30,10.95,4730,4952.428571428572,4547.214285714285,0.29892761394101874,0.2528837099811676,0.28576152995757464,0.2684503607058374
4833,sf,2021-03-31,11.266666666666667,5481,5116.857142857143,4656.714285714285,0.32439678284182316,0.2970809792843691,0.29663715476269215,0.27595833149674553
4834,sf,2021-04-01,11.066666666666666,5543,5287.571428571428,4909.0,0.30831099195710454,0.3007297551789077,0.30792852890875244,0.2932565394768418
4835,sf,2021-04-02,10.816666666666666,5375,5297.714285714285,4967.571428571428,0.2882037533512064,0.2908427495291902,0.3085993971634556,0.297272544727034
4836,sf,2021-04-03,12.55,5471,5152.285714285715,4958.571428571428,0.42761394101876693,0.2964924670433145,0.29898046922982435,0.29665545123737036
4837,sf,2021-04-04,12.35,4423,5028.285714285715,4930.285714285715,0.4115281501340483,0.23481638418079093,0.29077886859486174,0.2947160145555703
4838,sf,2021-04-05,10.183333333333334,3917,4991.428571428572,4929.642857142857,0.2372654155495979,0.20503766478342747,0.28834106564115164,0.2946719364491657
4839,sf,2021-04-06,10.25,4411,4945.857142857143,4949.142857142857,0.24262734584450407,0.2341101694915254,0.2853268829193163,0.2960089723434369
