,city,start_station_name,end_station_name,trip_count,distance
212,sf,Steuart St at Market St,Berry St at 4th St,6440,1.2568001048557966
213,sf,Howard St at Beale St,San Francisco Caltrain (Townsend St at 4th St),6331,0.8799407970542957
214,sf,Embarcadero BART Station (Beale St at Market St),Beale St at Harrison St,6263,0.3611248517584402
215,sf,Townsend St at 7th St,San Francisco Caltrain Station 2  (Townsend St at 4th St),6183,0.5505641448108055
216,sf,Market St at 10th St,San Francisco Caltrain Station 2  (Townsend St at 4th St),5932,1.196582893690009
217,sf,The Embarcadero at Sansome St,The Embarcadero at Sansome St,5884,0.03831160490397138
218,sf,2nd St at Townsend St,San Francisco Ferry Building (Harry Bridges Plaza),5854,1.0386587667124627
219,sf,Bancroft Way at College Ave,Downtown Berkeley BART,5723,0.7360407489357612
220,sf,Market St at 10th St,Montgomery St BART Station (Market St at 2nd St),5658,1.2225977392896075
221,sf,Berry St at 4th St,Howard St at Beale St,5614,0.9278257709426743
222,sf,Fell St at Stanyan St,Fell St at Stanyan St,5547,0.20415512991796553
223,sf,2nd St at Townsend St,Montgomery St BART Station (Market St at 2nd St),5425,0.5026149654896201
224,sf,Bancroft Way at College Ave,Bancroft Way at Telegraph Ave,5376,0.2449660061157116
225,sf,19th Street BART Station,Bay Pl at Vernon St,5353,0.4536723366985568
226,sf,Powell St BART Station (Market St at 5th St),Market St at 10th St,5344,0.5690050872305306
227,sf,Powell St BART Station (Market St at 4th St),Market St at 10th St,5296,0.6416322660817572
228,sf,Berry St at 4th St,Steuart St at Market St,5203,1.2300969265489596
229,sf,3rd St at Townsend St,San Francisco Ferry Building (Harry Bridges Plaza),5128,1.1822288785458543
230,sf,Market St at 10th St,Powell St BART Station (Market St at 5th St),5032,0.4670542661449357
231,sf,Steuart St at Market St,San Francisco Caltrain (Townsend St at 4th St),4853,1.2073494610334812
232,sf,Lake Merritt BART Station,2nd Ave at E 18th St,4853,0.6607145984811148
233,sf,San Francisco Ferry Building (Harry Bridges Plaza),San Francisco Ferry Building (Harry Bridges Plaza),4817,0.0069609139259941555
234,sf,Bancroft Way at Telegraph Ave,Downtown Berkeley BART,4756,0.5004811822937819
235,sf,San Francisco Caltrain (Townsend St at 4th St),Montgomery St BART Station (Market St at 2nd St),4684,0.8843302547300509
236,sf,The Embarcadero at Steuart St,San Francisco Caltrain (Townsend St at 4th St),4559,1.043959435605378
237,sf,Broadway at 40th St,MacArthur BART Station,4549,0.5270627327124234
238,sf,Montgomery St BART Station (Market St at 2nd St),Bryant St at 2nd St,4507,0.5817060715431296
239,sf,El Embarcadero at Grand Ave,El Embarcadero at Grand Ave,4492,0.0
240,sf,14th St at Mandela Pkwy,West Oakland BART Station,4469,0.4211817612441234
241,sf,Montgomery St BART Station (Market St at 2nd St),2nd St at Townsend St,4452,0.8162976522227461
242,sf,2nd Ave at E 18th St,Lake Merritt BART Station,4405,0.6607393213203682
243,sf,Beale St at Harrison St,San Francisco Caltrain (Townsend St at 4th St),4385,0.7802751687849824
244,sf,The Embarcadero at Steuart St,Berry St at 4th St,4379,1.073959484164814
245,sf,Powell St BART Station (Market St at 5th St),5th St at Brannan St,4363,0.7135491950526975
246,sf,Division St at Potrero Ave,San Francisco Caltrain Station 2  (Townsend St at 4th St),4354,0.8379458205158078
247,sf,4th St at Mission Bay Blvd S,Berry St at 4th St,4338,0.37150462697037623
248,sf,Berry St at 4th St,The Embarcadero at Steuart St,4307,1.049425919390536
249,sf,Central Ave at Fell St,Central Ave at Fell St,4305,0.019852807029313798
250,sf,Berry St at 4th St,4th St at Mission Bay Blvd S,4289,0.4240905823944823
251,sf,4th St at 16th St,Berry St at 4th St,4281,0.4207387156147058
252,sf,San Francisco Caltrain (Townsend St at 4th St),San Francisco Ferry Building (Harry Bridges Plaza),4260,1.2860518739399691
253,sf,Powell St BART Station (Market St at 4th St),San Francisco Caltrain (Townsend St at 4th St),4236,0.888901935833032
254,sf,Broadway at 30th St,19th Street BART Station,4229,0.7873614023922327
255,sf,Buchanan St at North Point St,Buchanan St at North Point St,4196,0.12137793219304384
256,sf,Howard St at Beale St,Berry St at 4th St,4187,0.9569434983160572
257,sf,West Oakland BART Station,14th St at Mandela Pkwy,4185,0.4211817612441234
258,sf,5th St at Virginia St,San Fernando St at 4th St,4145,0.7377941420423131
259,sf,2nd Ave at E 18th St,10th St at Fallon St,4109,0.5324254923322317
260,sf,19th Street BART Station,Grand Ave at Santa Clara Ave,4084,1.1633656028525337
261,sf,San Francisco Caltrain Station 2  (Townsend St at 4th St),Townsend St at 7th St,4047,0.5505641448108055
262,sf,Beale St at Harrison St,Embarcadero BART Station (Beale St at Market St),3933,3.8606815399733474
263,sf,5th St at Brannan St,Powell St BART Station (Market St at 5th St),3919,0.7135491950526975
264,sf,Powell St BART Station (Market St at 4th St),4th St at Harrison St,3913,0.4304008277259687
265,sf,San Francisco Caltrain (Townsend St at 4th St),Howard St at Beale St,3910,0.9080002977510657
266,sf,Civic Center/UN Plaza BART Station (Market St at McAllister St),Powell St BART Station (Market St at 4th St),3892,0.49316180652642844
267,sf,Embarcadero BART Station (Beale St at Market St),San Francisco Caltrain (Townsend St at 4th St),3879,1.0351695474120242
268,sf,Market St at 10th St,Civic Center/UN Plaza BART Station (Market St at McAllister St),3858,0.38467974855735665
269,sf,19th Street BART Station,El Embarcadero at Grand Ave,3858,1.023365062183018
270,sf,4th St at Mission Bay Blvd S,San Francisco Ferry Building (Harry Bridges Plaza),3847,1.744052541657444
271,sf,Embarcadero BART Station (Beale St at Market St),The Embarcadero at Sansome St,3818,0.9598234303737978
272,sf,MacArthur BART Station,Broadway at 40th St,3776,0.5269902004190783
273,sf,San Francisco Ferry Building (Harry Bridges Plaza),2nd St at Townsend St,3739,1.0524778757798263
274,sf,Telegraph Ave at 27th St,19th Street BART Station,3709,0.48695322789303624
275,sf,San Francisco Ferry Building (Harry Bridges Plaza),3rd St at Townsend St,3705,1.171612254399324
276,sf,The Embarcadero at Sansome St,Embarcadero BART Station (Beale St at Market St),3651,0.9597212125993025
277,sf,San Fernando St at 4th St,5th St at Virginia St,3651,0.8316936871256738
278,sf,The Embarcadero at Sansome St,Howard St at Beale St,3613,1.170594432134565
279,sf,45th St at Manila,MacArthur BART Station,3597,0.6465998383891178
280,sf,Montgomery St BART Station (Market St at 2nd St),San Francisco Ferry Building (Harry Bridges Plaza),3564,0.4572034218612254
281,sf,Montgomery St BART Station (Market St at 2nd St),S Park St at 3rd St,3559,0.6735242107720002
282,sf,Genoa St at 55th St,MacArthur BART Station,3521,0.8302499465423807
283,sf,Townsend St at 7th St,Civic Center/UN Plaza BART Station (Market St at McAllister St),3503,0.7861413018648654
284,sf,San Francisco Caltrain Station 2  (Townsend St at 4th St),Montgomery St BART Station (Market St at 2nd St),3484,0.9411804710276894
285,sf,8th St at Ringold St,San Francisco Caltrain Station 2  (Townsend St at 4th St),3434,0.7760646577061727
286,sf,7th St at Brannan St,Civic Center/UN Plaza BART Station (Market St at McAllister St),3430,0.6929469168075949
287,sf,Howard St at Beale St,The Embarcadero at Sansome St,3427,1.1900246364191531
288,sf,Clay St at Battery St,San Francisco Caltrain (Townsend St at 4th St),3407,1.240608249534628
289,sf,Grand Ave at Santa Clara Ave,19th Street BART Station,3403,1.1634068615422155
290,sf,Steuart St at Market St,2nd St at Townsend St,3364,0.9564715007654013
291,sf,Hearst Ave at Euclid Ave,Downtown Berkeley BART,3362,0.5390773239281949
292,sf,Montgomery St BART Station (Market St at 2nd St),Market St at 10th St,3353,1.2630385860319584
293,sf,Berry St at 4th St,Beale St at Harrison St,3344,0.8087366837882606
294,sf,Hearst Ave at Euclid Ave,Bancroft Way at Telegraph Ave,3280,0.4410015361769542
295,sf,Ashby BART Station,Woolsey St at Sacramento St,3268,0.45467091438100765
296,sf,Steuart St at Market St,4th St at Mission Bay Blvd S,3252,1.641390061386516
297,sf,San Francisco Ferry Building (Harry Bridges Plaza),San Francisco Caltrain (Townsend St at 4th St),3234,1.288633438963698
298,sf,Powell St BART Station (Market St at 5th St),Townsend St at 5th St,3212,0.8338554762483524
299,sf,The Embarcadero at Bryant St,San Francisco Ferry Building (Harry Bridges Plaza),3198,0.6444318512724341
